mkt_name,mp_month,mp_price,mp_year,yearmon,date
Luangwa,1,1.2996,2003,3-Jan,1/1/2003
Luangwa,2,1.2954,2003,3-Feb,2/1/2003
Luangwa,3,1.1111,2003,3-Mar,3/1/2003
Luangwa,4,1,2003,3-Apr,4/1/2003
Luangwa,5,0.7274,2003,3-May,5/1/2003
Luangwa,6,0.8507,2003,3-Jun,6/1/2003
Luangwa,7,0.7717,2003,3-Jul,7/1/2003
Luangwa,8,0.6667,2003,3-Aug,8/1/2003
Luangwa,9,0.6944,2003,3-Sep,9/1/2003
Luangwa,10,0.6667,2003,3-Oct,10/1/2003
Luangwa,11,0.5556,2003,3-Nov,11/1/2003
Luangwa,12,0.5556,2003,3-Dec,12/1/2003
Luangwa,1,0.5556,2004,4-Jan,1/1/2004
Luangwa,2,0.6111,2004,4-Feb,2/1/2004
Luangwa,3,0.6111,2004,4-Mar,3/1/2004
Luangwa,4,0.5556,2004,4-Apr,4/1/2004
Luangwa,5,0.4195,2004,4-May,5/1/2004
Luangwa,6,0.4056,2004,4-Jun,6/1/2004
Luangwa,7,0.4474,2004,4-Jul,7/1/2004
Luangwa,8,0.6944,2004,4-Aug,8/1/2004
Luangwa,9,0.75,2004,4-Sep,9/1/2004
Luangwa,10,0.75,2004,4-Oct,10/1/2004
Luangwa,11,0.8056,2004,4-Nov,11/1/2004
Luangwa,12,0.8889,2004,4-Dec,12/1/2004
Luangwa,1,0.8333,2005,5-Jan,1/1/2005
Luangwa,2,1.0556,2005,5-Feb,2/1/2005
Luangwa,3,0.9722,2005,5-Mar,3/1/2005
Luangwa,4,0.8415,2005,5-Apr,4/1/2005
Luangwa,5,0.8304,2005,5-May,5/1/2005
Luangwa,6,0.8333,2005,5-Jun,6/1/2005
Luangwa,7,0.9722,2005,5-Jul,7/1/2005
Luangwa,8,0.9653,2005,5-Aug,8/1/2005
Luangwa,9,1.0474,2005,5-Sep,9/1/2005
Luangwa,10,1.2347,2005,5-Oct,10/1/2005
Luangwa,11,1.4474,2005,5-Nov,11/1/2005
Luangwa,12,1.4684,2005,5-Dec,12/1/2005
Luangwa,1,1.4968,2006,6-Jan,1/1/2006
Luangwa,2,1.5773,2006,6-Feb,2/1/2006
Luangwa,3,1.3896,2006,6-Mar,3/1/2006
Luangwa,4,1.002,2006,6-Apr,4/1/2006
Luangwa,5,0.7092,2006,6-May,5/1/2006
Luangwa,6,0.6502,2006,6-Jun,6/1/2006
Luangwa,7,0.8056,2006,6-Jul,7/1/2006
Luangwa,8,0.7939,2006,6-Aug,8/1/2006
Luangwa,9,0.8834,2006,6-Sep,9/1/2006
Luangwa,10,1.0014,2006,6-Oct,10/1/2006
Luangwa,11,0.9289,2006,6-Nov,11/1/2006
Luangwa,12,0.8333,2006,6-Dec,12/1/2006
Luangwa,1,0.8569,2007,7-Jan,1/1/2007
Luangwa,2,0.8715,2007,7-Feb,2/1/2007
Luangwa,3,0.9444,2007,7-Mar,3/1/2007
Luangwa,4,0.8769,2007,7-Apr,4/1/2007
Luangwa,5,0.7238,2007,7-May,5/1/2007
Luangwa,6,0.7061,2007,7-Jun,6/1/2007
Luangwa,7,0.704,2007,7-Jul,7/1/2007
Luangwa,8,0.8333,2007,7-Aug,8/1/2007
Luangwa,9,0.8488,2007,7-Sep,9/1/2007
Luangwa,10,NA,2007,7-Oct,10/1/2007
Luangwa,11,0.9444,2007,7-Nov,11/1/2007
Luangwa,12,0.9764,2007,7-Dec,12/1/2007
Luangwa,1,1.0298,2008,8-Jan,1/1/2008
Luangwa,2,1.0574,2008,8-Feb,2/1/2008
Luangwa,3,1.1289,2008,8-Mar,3/1/2008
Luangwa,4,1.092,2008,8-Apr,4/1/2008
Luangwa,5,0.9071,2008,8-May,5/1/2008
Luangwa,6,1.0046,2008,8-Jun,6/1/2008
Luangwa,7,1.1102,2008,8-Jul,7/1/2008
Luangwa,8,1.2243,2008,8-Aug,8/1/2008
Luangwa,9,1.3036,2008,8-Sep,9/1/2008
Luangwa,10,1.5378,2008,8-Oct,10/1/2008
Luangwa,11,1.7194,2008,8-Nov,11/1/2008
Luangwa,12,1.975,2008,8-Dec,12/1/2008
Mwinilunga,1,1,2003,3-Jan,1/1/2003
Mwinilunga,2,1.1667,2003,3-Feb,2/1/2003
Mwinilunga,3,1.0649,2003,3-Mar,3/1/2003
Mwinilunga,4,0.6667,2003,3-Apr,4/1/2003
Mwinilunga,5,0.3333,2003,3-May,5/1/2003
Mwinilunga,6,0.3333,2003,3-Jun,6/1/2003
Mwinilunga,7,0.3333,2003,3-Jul,7/1/2003
Mwinilunga,8,0.5667,2003,3-Aug,8/1/2003
Mwinilunga,9,0.8333,2003,3-Sep,9/1/2003
Mwinilunga,10,0.5,2003,3-Oct,10/1/2003
Mwinilunga,11,0.5556,2003,3-Nov,11/1/2003
Mwinilunga,12,1,2003,3-Dec,12/1/2003
Mwinilunga,1,0.8333,2004,4-Jan,1/1/2004
Mwinilunga,2,0.5556,2004,4-Feb,2/1/2004
Mwinilunga,3,0.6667,2004,4-Mar,3/1/2004
Mwinilunga,4,0.5556,2004,4-Apr,4/1/2004
Mwinilunga,5,0.2778,2004,4-May,5/1/2004
Mwinilunga,6,0.2778,2004,4-Jun,6/1/2004
Mwinilunga,7,0.3064,2004,4-Jul,7/1/2004
Mwinilunga,8,0.7222,2004,4-Aug,8/1/2004
Mwinilunga,9,0.8333,2004,4-Sep,9/1/2004
Mwinilunga,10,0.8333,2004,4-Oct,10/1/2004
Mwinilunga,11,0.8333,2004,4-Nov,11/1/2004
Mwinilunga,12,0.6667,2004,4-Dec,12/1/2004
Mwinilunga,1,1,2005,5-Jan,1/1/2005
Mwinilunga,2,1.0977,2005,5-Feb,2/1/2005
Mwinilunga,3,0.8333,2005,5-Mar,3/1/2005
Mwinilunga,4,0.6667,2005,5-Apr,4/1/2005
Mwinilunga,5,0.6667,2005,5-May,5/1/2005
Mwinilunga,6,0.8333,2005,5-Jun,6/1/2005
Mwinilunga,7,0.6667,2005,5-Jul,7/1/2005
Mwinilunga,8,0.7667,2005,5-Aug,8/1/2005
Mwinilunga,9,0.6667,2005,5-Sep,9/1/2005
Mwinilunga,10,0.8333,2005,5-Oct,10/1/2005
Mwinilunga,11,0.8333,2005,5-Nov,11/1/2005
Mwinilunga,12,1.1667,2005,5-Dec,12/1/2005
Mwinilunga,1,1.3333,2006,6-Jan,1/1/2006
Mwinilunga,2,1.4704,2006,6-Feb,2/1/2006
Mwinilunga,3,1.5,2006,6-Mar,3/1/2006
Mwinilunga,4,1.1667,2006,6-Apr,4/1/2006
Mwinilunga,5,0.6667,2006,6-May,5/1/2006
Mwinilunga,6,0.6112,2006,6-Jun,6/1/2006
Mwinilunga,7,0.6667,2006,6-Jul,7/1/2006
Mwinilunga,8,0.6752,2006,6-Aug,8/1/2006
Mwinilunga,9,0.6667,2006,6-Sep,9/1/2006
Mwinilunga,10,0.7353,2006,6-Oct,10/1/2006
Mwinilunga,11,0.7534,2006,6-Nov,11/1/2006
Mwinilunga,12,0.7906,2006,6-Dec,12/1/2006
Mwinilunga,1,NA,2007,7-Jan,1/1/2007
Mwinilunga,2,0.8333,2007,7-Feb,2/1/2007
Mwinilunga,3,1,2007,7-Mar,3/1/2007
Mwinilunga,4,0.9805,2007,7-Apr,4/1/2007
Mwinilunga,5,0.8333,2007,7-May,5/1/2007
Mwinilunga,6,0.6667,2007,7-Jun,6/1/2007
Mwinilunga,7,0.6667,2007,7-Jul,7/1/2007
Mwinilunga,8,0.8333,2007,7-Aug,8/1/2007
Mwinilunga,9,0.8333,2007,7-Sep,9/1/2007
Mwinilunga,10,NA,2007,7-Aug,10/1/2007
Mwinilunga,11,NA,2007,7-Sep,11/1/2007
Mwinilunga,12,1.1667,2007,7-Dec,12/1/2007
Mwinilunga,1,1.1667,2008,8-Jan,1/1/2008
Mwinilunga,2,1.2128,2008,8-Feb,2/1/2008
Mwinilunga,3,1.346,2008,8-Mar,3/1/2008
Mwinilunga,4,1.3005,2008,8-Apr,4/1/2008
Mwinilunga,5,1.0591,2008,8-May,5/1/2008
Mwinilunga,6,0.8333,2008,8-Jun,6/1/2008
Mwinilunga,7,0.8909,2008,8-Jul,7/1/2008
Mwinilunga,8,1,2008,8-Aug,8/1/2008
Mwinilunga,9,1.0461,2008,8-Sep,9/1/2008
Mwinilunga,10,1.3333,2008,8-Oct,10/1/2008
Mwinilunga,11,1.46,2008,8-Nov,11/1/2008
Mwinilunga,12,1.677,2008,8-Dec,12/1/2008
